carrier,date, premium 
HARTFORD,12/3/2014,547
HARTFORD,12/3/2014,554
HARTFORD,12/3/2014,1458
HARTFORD,12/3/2014,2397
HARTFORD,12/3/2014,1506
HARTFORD,12/3/2014,291
HARTFORD,12/3/2014,773
HARTFORD,12/3/2014,1241
HARTFORD,12/3/2014,1427
HARTFORD,12/3/2014,1135
HARTFORD,12/3/2014,293
HARTFORD,12/3/2014,853
HARTFORD,12/3/2014,444
HARTFORD,12/3/2014,687
HARTFORD,12/3/2014,823
HARTFORD,12/3/2014,428
HARTFORD,12/3/2014,722
MERCURY,12/3/2014,1288
21ST,12/3/2014,489.88
21ST,12/3/2014,234.41
21ST,12/3/2014,569
21ST,12/3/2014,612
21ST,12/3/2014,402.08
21ST,12/3/2014,474.73
21ST,12/3/2014,811
21ST,12/3/2014,582
21ST,12/3/2014,749.57
21ST,12/3/2014,600.99
21ST,12/3/2014,199.3
21ST,12/3/2014,626
21ST,12/3/2014,615.83
21ST,12/3/2014,849.33
21ST,12/3/2014,509.08
21ST,12/3/2014,329
21ST,12/3/2014,587.57
21ST,12/3/2014,586.74
21ST,12/3/2014,567.68
21ST,12/3/2014,597
21ST,12/3/2014,392.68
21ST,12/3/2014,1356.94
21ST,12/3/2014,845
21ST,12/3/2014,606
21ST,12/3/2014,569.46
21ST,12/3/2014,231
21ST,12/3/2014,233
21ST,12/3/2014,459
21ST,12/3/2014,444.28
21ST,12/3/2014,566
21ST,12/3/2014,246.2
21ST,12/3/2014,398
21ST,12/3/2014,611.25
21ST,12/3/2014,564
21ST,12/3/2014,1936.99
21ST,12/3/2014,1014.8
21ST,12/3/2014,450
21ST,12/3/2014,407.29
21ST,12/3/2014,750
21ST,12/3/2014,284
21ST,12/3/2014,220.41
21ST,12/3/2014,300.47
21ST,12/3/2014,311.27
21ST,12/3/2014,482.75
MERCURY,12/3/2014,769
MERCURY,12/3/2014,680
MERCURY,12/3/2014,620
MERCURY,12/3/2014,1108
MERCURY,12/3/2014,421
MERCURY,12/3/2014,1349
MERCURY,12/3/2014,883
DAIRYLAND,12/3/2014,390
DAIRYLAND,12/3/2014,1050.21
MERCURY,12/3/2014,941
MERCURY,12/3/2014,1621
MERCURY,12/3/2014,1848
MERCURY,12/3/2014,2103
MERCURY,12/3/2014,1124
MERCURY,12/3/2014,3328
MERCURY,12/3/2014,3604
MERCURY,12/3/2014,559
MERCURY,12/3/2014,1351
MERCURY,12/3/2014,1931
ESURANCE,12/3/2014,532
ESURANCE,12/3/2014,324
METLIFE,12/3/2014,572
PROGRESSIVE,12/3/2014,621
PROGRESSIVE,12/3/2014,638
PROGRESSIVE,12/3/2014,423
PROGRESSIVE,12/3/2014,558
PROGRESSIVE,12/3/2014,638
PROGRESSIVE,12/3/2014,623
PROGRESSIVE,12/3/2014,1154
PROGRESSIVE,12/3/2014,613
PROGRESSIVE,12/3/2014,2248
PROGRESSIVE,12/3/2014,288
PROGRESSIVE,12/3/2014,625
PROGRESSIVE,12/3/2014,1019
PROGRESSIVE,12/3/2014,1178
PROGRESSIVE,12/3/2014,571
PROGRESSIVE,12/3/2014,1518
PROGRESSIVE,12/3/2014,234
PROGRESSIVE,12/3/2014,369
PROGRESSIVE,12/3/2014,1065
PROGRESSIVE,12/3/2014,306
PROGRESSIVE,12/3/2014,381
PROGRESSIVE,12/3/2014,610
PROGRESSIVE,12/3/2014,849
PROGRESSIVE,12/3/2014,346
PROGRESSIVE,12/3/2014,503
PROGRESSIVE,12/3/2014,541
PROGRESSIVE,12/3/2014,367
PROGRESSIVE,12/3/2014,158
PROGRESSIVE,12/3/2014,267
PROGRESSIVE,12/3/2014,1215
PROGRESSIVE,12/3/2014,62
PROGRESSIVE,12/3/2014,736
PROGRESSIVE,12/3/2014,507
PROGRESSIVE,12/3/2014,387
PROGRESSIVE,12/3/2014,674
PROGRESSIVE,12/3/2014,344
PROGRESSIVE,12/3/2014,576
PROGRESSIVE,12/3/2014,711
PROGRESSIVE,12/3/2014,323
PROGRESSIVE,12/3/2014,1419
PROGRESSIVE,12/3/2014,3255
PROGRESSIVE,12/3/2014,158
PROGRESSIVE,12/3/2014,378
PROGRESSIVE,12/3/2014,950
PROGRESSIVE,12/3/2014,217
